wd:Q57660343	wd:Q622425
wd:Q56061	wd:Q934998
wd:Q6671777	wd:Q508295
wd:Q134556	wd:Q106077699
wd:Q15893266	wd:Q89415750
wd:Q1553482	wd:Q1802186
wd:Q113446414	wd:Q1076882
wd:Q4215166	wd:Q15643599
wd:Q17537576	wd:Q62090711
wd:Q661702	wd:Q899514
wd:Q14659	wd:Q368205
wd:Q111426220	wd:Q1520009
wd:Q1400264	wd:Q5256141
wd:Q45242859	wd:Q7887380
wd:Q28886448	wd:Q429785
wd:Q1063801	wd:Q171341
wd:Q115920545	wd:Q203490
wd:Q9332842	wd:Q2213770
wd:Q19833559	wd:Q180256
wd:Q1294787	wd:Q2341443
wd:Q312466	wd:Q870898
wd:Q1536372	wd:Q17344046
wd:Q4687862	wd:Q3497768
wd:Q751892	wd:Q846330
wd:Q3149505	wd:Q736415
wd:Q391414	wd:Q111547807
wd:Q7048977	wd:Q122397289
wd:Q287198	wd:Q110314248
wd:Q111631051	wd:Q111631050
wd:Q14952	wd:Q48296
wd:Q18608583	wd:Q61629906
wd:Q2352616	wd:Q102700083
wd:Q955214	wd:Q695318
wd:Q72867640	wd:Q115399440
wd:Q19953632	wd:Q2998917
wd:Q213051	wd:Q83818856
wd:Q976981	wd:Q2114712
wd:Q11563	wd:Q1191085
wd:Q2739329	wd:Q428813
wd:Q31855	wd:Q480242
wd:Q1365365	wd:Q6097
wd:Q2424752	wd:Q994895
wd:Q3604747	wd:Q105334701
wd:Q264661	wd:Q36794
wd:Q15646667	wd:Q153026
wd:Q4164871	wd:Q97468869
wd:Q7210356	wd:Q35798
wd:Q4830453	wd:Q2333552
wd:Q775318	wd:Q121070530
wd:Q179700	wd:Q756079
wd:Q1113899	wd:Q6041302
wd:Q170409	wd:Q898525
wd:Q15642541	wd:Q2983893
wd:Q15989253	wd:Q66671292
wd:Q21070568	wd:Q123005968
wd:Q105037426	wd:Q105036901
wd:Q6313217	wd:Q12143
wd:Q57659484	wd:Q24699794
wd:Q11812394	wd:Q2430650
wd:Q811979	wd:Q1004887
wd:Q185217	wd:Q27149745
wd:Q1797381	wd:Q1434275
wd:Q178706	wd:Q13147896
wd:Q56061	wd:Q192611
wd:Q60548032	wd:Q5151495
wd:Q17442446	wd:Q56005592
wd:Q856234	wd:Q59677121
wd:Q366134	wd:Q639460
wd:Q19364326	wd:Q10689397
wd:Q2069238	wd:Q11167066
wd:Q24716636	wd:Q1773363
wd:Q17457753	wd:Q116175792
wd:Q31732	wd:Q1425683
wd:Q3249551	wd:Q4455079
wd:Q19953632	wd:Q58683981
wd:Q39715	wd:Q1409029
wd:Q1062780	wd:Q3748441
wd:Q184296	wd:Q6305624
wd:Q16324756	wd:Q11993231
wd:Q7493597	wd:Q145909
wd:Q126807	wd:Q11631443
wd:Q811430	wd:Q20675
wd:Q1607826	wd:Q121701185
wd:Q15893266	wd:Q2284298
wd:Q1058733	wd:Q42948
wd:Q123273011	wd:Q34493
wd:Q2249149	wd:Q15654425
wd:Q3529618	wd:Q486983
wd:Q1884048	wd:Q5078274
wd:Q702269	wd:Q82955
wd:Q505628	wd:Q1580122
wd:Q262370	wd:Q898675
wd:Q2424752	wd:Q152833
wd:Q705899	wd:Q16155280
wd:Q1414991	wd:Q2140699
wd:Q26836193	wd:Q16079746
wd:Q1457747	wd:Q4405227
wd:Q3286043	wd:Q8193763
wd:Q4366377	wd:Q72277
wd:Q12765911	wd:Q25634299
wd:Q191360	wd:Q2841122
wd:Q193220	wd:Q50488927
wd:Q3115609	wd:Q547823
wd:Q1895274	wd:Q78493655
wd:Q3343298	wd:Q105485667
wd:Q1391390	wd:Q2473971
wd:Q747883	wd:Q3177945
wd:Q123273011	wd:Q4166147
wd:Q15642566	wd:Q15239622
wd:Q3299260	wd:Q29045252
wd:Q1234713	wd:Q104437516
wd:Q987767	wd:Q1941820
wd:Q3536096	wd:Q96280248
wd:Q1190554	wd:Q1689296
wd:Q17172602	wd:Q15072800
wd:Q1607826	wd:Q116867080
wd:Q189962	wd:Q253590
wd:Q1668556	wd:Q521461
wd:Q105375326	wd:Q5436767
wd:Q2041172	wd:Q106000972
wd:Q3132741	wd:Q634
wd:Q82955	wd:Q4345946
wd:Q595658	wd:Q536135
wd:Q189299	wd:Q4993060
wd:Q11320567	wd:Q1487455
wd:Q16258947	wd:Q2101540
wd:Q19355445	wd:Q19359000
wd:Q1190554	wd:Q17781833
wd:Q1521410	wd:Q907209
wd:Q115628574	wd:Q191931
wd:Q1190554	wd:Q273120
wd:Q336705	wd:Q26853769
wd:Q66735983	wd:Q105438420
wd:Q57050725	wd:Q80019
wd:Q1662011	wd:Q317615
wd:Q7048977	wd:Q147027
wd:Q858177	wd:Q11914069
wd:Q3624078	wd:Q115790720
wd:Q25550691	wd:Q3361361
wd:Q1080794	wd:Q111236457
wd:Q117674967	wd:Q123123156
wd:Q271669	wd:Q1413444
wd:Q1002697	wd:Q1770383
wd:Q30168244	wd:Q115526284
wd:Q920419	wd:Q55871434
wd:Q19659292	wd:Q860256
wd:Q70495364	wd:Q70495424
wd:Q187931	wd:Q843227
wd:Q12772819	wd:Q116831740
wd:Q3132741	wd:Q28951811
wd:Q27968055	wd:Q4504495
wd:Q1455167	wd:Q27970331
wd:Q1254933	wd:Q148578
wd:Q124389936	wd:Q37813430
wd:Q24249534	wd:Q3445240
wd:Q379173	wd:Q2962906
wd:Q838948	wd:Q1913135
wd:Q15661340	wd:Q142085
wd:Q7397	wd:Q101408242
wd:Q170087	wd:Q1469420
wd:Q55091441	wd:Q78076954
wd:Q14869273	wd:Q4451214
wd:Q11424378	wd:Q5283344
wd:Q1476215	wd:Q96034777
wd:Q89918342	wd:Q89918337
wd:Q82594	wd:Q106432098
wd:Q4164871	wd:Q1714036
wd:Q7216866	wd:Q25345994
wd:Q1046763	wd:Q11453226
wd:Q15706911	wd:Q1047698
wd:Q2015628	wd:Q1032372
wd:Q1003225	wd:Q761699
wd:Q215928	wd:Q423488
wd:Q13220204	wd:Q1923855
wd:Q1639361	wd:Q156849
wd:Q4164871	wd:Q83230308
wd:Q20668387	wd:Q384515
wd:Q847017	wd:Q16945583
wd:Q931483	wd:Q7132722
wd:Q66735988	wd:Q105438030
wd:Q214252	wd:Q5737799
wd:Q3622126	wd:Q105948247
wd:Q483453	wd:Q107549917
wd:Q107637253	wd:Q5224019
wd:Q46351685	wd:Q17165333
wd:Q3745071	wd:Q16063546
wd:Q7493597	wd:Q3687258
wd:Q11124885	wd:Q978854
wd:Q9200127	wd:Q17010072
wd:Q486972	wd:Q2191999
wd:Q1065579	wd:Q13722
wd:Q2671652	wd:Q30612
wd:Q1371819	wd:Q22222786
wd:Q3244175	wd:Q2347716
wd:Q111956902	wd:Q1069300
wd:Q875538	wd:Q7239802
wd:Q838948	wd:Q95970448
wd:Q7397	wd:Q56751006
wd:Q17521458	wd:Q57036
wd:Q65066631	wd:Q113940039
wd:Q11900058	wd:Q1818899
wd:Q7140620	wd:Q118162105
wd:Q40056	wd:Q1220872
wd:Q11422	wd:Q1751712
wd:Q64624092	wd:Q10671645
wd:Q1294787	wd:Q66035178
wd:Q22075301	wd:Q17126091
wd:Q115273300	wd:Q1776834
wd:Q391414	wd:Q468402
wd:Q16249975	wd:Q5156725
wd:Q4284971	wd:Q2946032
wd:Q54128	wd:Q1427544
wd:Q13539802	wd:Q262882
wd:Q42106	wd:Q7662595
wd:Q640506	wd:Q19358292
wd:Q88865505	wd:Q88865447
wd:Q7048977	wd:Q11475
wd:Q35798	wd:Q6664211
wd:Q105190	wd:Q12323
wd:Q3951866	wd:Q216158
wd:Q2169973	wd:Q393351
wd:Q769620	wd:Q1471594
wd:Q881942	wd:Q884722
wd:Q901	wd:Q16727193
wd:Q71962386	wd:Q123991699
wd:Q7743	wd:Q14517494
wd:Q5266746	wd:Q105758271
wd:Q122973887	wd:Q147538
wd:Q1184268	wd:Q10729326
wd:Q3208952	wd:Q5156764
wd:Q15709880	wd:Q23653
wd:Q13220204	wd:Q3179682
wd:Q264661	wd:Q2013063
wd:Q1454986	wd:Q1153014
wd:Q1914636	wd:Q11771944
wd:Q65757353	wd:Q198099
wd:Q1900657	wd:Q2906862
wd:Q25403900	wd:Q2098111
wd:Q56055312	wd:Q13578361
wd:Q21070568	wd:Q20643955
wd:Q192611	wd:Q2064521
wd:Q216931	wd:Q967140
wd:Q2849607	wd:Q5227650
wd:Q15253558	wd:Q90027440
wd:Q1361055	wd:Q899033
wd:Q96093243	wd:Q3427922
wd:Q94670589	wd:Q118455793
wd:Q2912517	wd:Q2631509
wd:Q839546	wd:Q112964616
wd:Q15632482	wd:Q920093
wd:Q6495575	wd:Q44636232
wd:Q742421	wd:Q2393314
wd:Q55788492	wd:Q2015728
wd:Q48204	wd:Q10480691
wd:Q811600	wd:Q2859800
wd:Q337060	wd:Q50380212
wd:Q606777	wd:Q1937879
wd:Q42889	wd:Q3758835
wd:Q12893838	wd:Q6671777
wd:Q811430	wd:Q27108230
wd:Q39917125	wd:Q39015397
wd:Q180684	wd:Q2334719
wd:Q190771	wd:Q57036
wd:Q277759	wd:Q17710986
wd:Q1522059	wd:Q2429834
wd:Q15623926	wd:Q123015443
wd:Q2914170	wd:Q2429735
wd:Q49848	wd:Q2762418
wd:Q39917125	wd:Q10283556
wd:Q14875	wd:Q590846
wd:Q1195684	wd:Q1092993
wd:Q337567	wd:Q932689
wd:Q11019	wd:Q116877139
wd:Q1521583	wd:Q358976
wd:Q207241	wd:Q117841754
wd:Q2737008	wd:Q7865442
wd:Q123705	wd:Q66458650
wd:Q1914636	wd:Q1087786
wd:Q1143070	wd:Q122271127
wd:Q29401129	wd:Q3062269
wd:Q11034548	wd:Q1570153
wd:Q34379	wd:Q1434775
wd:Q17488316	wd:Q26425137
wd:Q604188	wd:Q20716290
wd:Q618779	wd:Q60754876
wd:Q1355298	wd:Q1292520
wd:Q978044	wd:Q1435728
wd:Q1980247	wd:Q43148525
wd:Q191163	wd:Q2278308
wd:Q1756060	wd:Q373950
wd:Q2761147	wd:Q20826063
wd:Q1260632	wd:Q118554787
wd:Q7048977	wd:Q122258005
wd:Q1190554	wd:Q687031
wd:Q1188693	wd:Q1497658
wd:Q19829990	wd:Q24262584
wd:Q17176533	wd:Q1105784
wd:Q811430	wd:Q1660150
wd:Q52551684	wd:Q19953632
wd:Q104574429	wd:Q732970
wd:Q17489659	wd:Q67421136
wd:Q87482979	wd:Q678345
wd:Q38667285	wd:Q1071027
wd:Q1006048	wd:Q5440522
wd:Q108325	wd:Q48772482
wd:Q8010	wd:Q6452193
wd:Q105502345	wd:Q105502359
wd:Q99541706	wd:Q190354
wd:Q206827	wd:Q7494979
wd:Q317623	wd:Q235557
wd:Q333798	wd:Q60587
wd:Q978297	wd:Q5164823
wd:Q1781198	wd:Q56677038
wd:Q629173	wd:Q131093
wd:Q191163	wd:Q158607
wd:Q3688975	wd:Q59541
wd:Q15893266	wd:Q38058796
wd:Q104694724	wd:Q108415733
wd:Q88392887	wd:Q191067
wd:Q17537576	wd:Q17590416
wd:Q185451	wd:Q353163
wd:Q193395	wd:Q875110
wd:Q184824	wd:Q1055974
wd:Q108676767	wd:Q89362829
wd:Q21010853	wd:Q622370
wd:Q112826975	wd:Q185635
wd:Q176799	wd:Q7170688
wd:Q335571	wd:Q48772482
wd:Q105626471	wd:Q122987711
wd:Q1121708	wd:Q28914147
wd:Q15324	wd:Q11498185
wd:Q1371279	wd:Q6686945
wd:Q5154950	wd:Q7140444
wd:Q814648	wd:Q102854139
wd:Q57285129	wd:Q647856
wd:Q4835091	wd:Q1081138
wd:Q334415	wd:Q114772316
wd:Q1967459	wd:Q2992207
wd:Q863404	wd:Q89521
wd:Q1632136	wd:Q788590
wd:Q864217	wd:Q763244
wd:Q7281	wd:Q420474
wd:Q3114762	wd:Q759787
wd:Q6023295	wd:Q11832720
wd:Q119812366	wd:Q28754053
wd:Q811430	wd:Q170552
wd:Q171043	wd:Q50123041
wd:Q7433672	wd:Q61696018
wd:Q2835898	wd:Q1414322
wd:Q7048977	wd:Q1413749
wd:Q5660520	wd:Q659631
wd:Q1076486	wd:Q19601972
wd:Q19515368	wd:Q91257126
wd:Q42973	wd:Q98217092
wd:Q159391	wd:Q124871
wd:Q1267632	wd:Q111262701
wd:Q66310125	wd:Q209906
wd:Q60711924	wd:Q4233718
wd:Q1286517	wd:Q15077303
wd:Q11974939	wd:Q26832546
wd:Q1076882	wd:Q25831098
wd:Q33386280	wd:Q111508720
wd:Q1190554	wd:Q15916459
wd:Q10864048	wd:Q1070167
wd:Q63973228	wd:Q63973240
wd:Q15642566	wd:Q12143
wd:Q23955632	wd:Q118455793
wd:Q3622126	wd:Q12152998
wd:Q182357	wd:Q1993385
wd:Q12800682	wd:Q102036457
wd:Q16686448	wd:Q180160
wd:Q10379618	wd:Q186817
wd:Q485	wd:Q8026703
wd:Q7129601	wd:Q25404888
wd:Q765778	wd:Q101579667
wd:Q1080794	wd:Q5952771
wd:Q64760769	wd:Q26424344
wd:Q17152681	wd:Q16965134
wd:Q193395	wd:Q165596
wd:Q153936	wd:Q2438715
wd:Q20203388	wd:Q845060
wd:Q17538722	wd:Q17172848
wd:Q215380	wd:Q7558495
wd:Q102038373	wd:Q110435391
wd:Q1516537	wd:Q3067433
wd:Q11946645	wd:Q118918125
wd:Q494823	wd:Q5165081
wd:Q1225034	wd:Q1449266
wd:Q16533	wd:Q19262713
wd:Q2245405	wd:Q1068633
wd:Q606332	wd:Q1074121
wd:Q212238	wd:Q2274587
wd:Q105502362	wd:Q105502384
wd:Q4704404	wd:Q33972
wd:Q1049388	wd:Q994817
wd:Q273120	wd:Q81859300
wd:Q15924224	wd:Q4531850
wd:Q107637253	wd:Q7984469
wd:Q16743941	wd:Q16743936
wd:Q1836700	wd:Q1011817
wd:Q16519632	wd:Q117273481
wd:Q11850141	wd:Q626700
wd:Q197952	wd:Q778575
wd:Q122853586	wd:Q111475455
wd:Q5322166	wd:Q1592247
wd:Q1190554	wd:Q1200733
wd:Q474698	wd:Q185757
wd:Q5508836	wd:Q1056396
wd:Q16070115	wd:Q105760475
wd:Q49848	wd:Q9067730
wd:Q25713832	wd:Q11897839
wd:Q255274	wd:Q16919156
wd:Q13136	wd:Q873506
wd:Q190157	wd:Q1798641
wd:Q2389789	wd:Q893035
wd:Q201788	wd:Q15632632
wd:Q140703	wd:Q3485574
wd:Q1799493	wd:Q52146473
wd:Q7574803	wd:Q60767223
wd:Q551997	wd:Q2981904
wd:Q1914636	wd:Q1272707
wd:Q1731155	wd:Q19361459
wd:Q16686448	wd:Q1059843
wd:Q238053	wd:Q3242199
wd:Q3071715	wd:Q3801534
wd:Q15621286	wd:Q58142240
wd:Q6138343	wd:Q46995388
wd:Q27943370	wd:Q28950371
wd:Q646150	wd:Q75839
wd:Q3947	wd:Q1221145
wd:Q17000320	wd:Q26945172
wd:Q1093829	wd:Q604886
wd:Q27058130	wd:Q561
wd:Q14092	wd:Q1763828
wd:Q45199	wd:Q2307407
wd:Q99768786	wd:Q99768828
wd:Q40056	wd:Q47525747
wd:Q15642541	wd:Q15243209
wd:Q11994509	wd:Q4626
wd:Q3043160	wd:Q8084905
wd:Q131557	wd:Q20679073
wd:Q33565	wd:Q3649129
wd:Q7743	wd:Q613611
wd:Q19603939	wd:Q2682988
wd:Q1435994	wd:Q605981
wd:Q19890758	wd:Q3399774
wd:Q708676	wd:Q20767252
wd:Q54050	wd:Q55182635
wd:Q50995749	wd:Q117322787
wd:Q2994387	wd:Q3656955
wd:Q90027440	wd:Q120292951
wd:Q2137251	wd:Q182886
wd:Q32178211	wd:Q67604973
wd:Q15627169	wd:Q24293741
wd:Q1914636	wd:Q1068056
wd:Q834028	wd:Q575920
wd:Q27096235	wd:Q106908189
wd:Q694045	wd:Q109934417
wd:Q94670589	wd:Q3803825
wd:Q1365249	wd:Q3710229
wd:Q5482740	wd:Q57999368
wd:Q3284858	wd:Q1627026
wd:Q735188	wd:Q616005
wd:Q11424	wd:Q6133352
wd:Q1134443	wd:Q1213825
wd:Q8275050	wd:Q100942530
wd:Q756102	wd:Q420962
wd:Q111191714	wd:Q81113235
wd:Q1047213	wd:Q2835
wd:Q131436	wd:Q5434359
wd:Q112826975	wd:Q25615
wd:Q2034021	wd:Q1433105
wd:Q736556	wd:Q986291
wd:Q177220	wd:Q7939609
wd:Q123273011	wd:Q609755
wd:Q3773693	wd:Q1409660
wd:Q15710038	wd:Q66974308
wd:Q131512	wd:Q2248045
wd:Q100744571	wd:Q373442
wd:Q180987	wd:Q2736554
wd:Q1125062	wd:Q15962734
wd:Q114961210	wd:Q769713
wd:Q3540209	wd:Q1390062
wd:Q3249551	wd:Q1379672
wd:Q17205	wd:Q525365
wd:Q7048977	wd:Q42109240
wd:Q10864048	wd:Q1069042
wd:Q1047579	wd:Q198952
wd:Q23764314	wd:Q30748192
wd:Q3918409	wd:Q18170708
wd:Q315364	wd:Q23009552
wd:Q186361	wd:Q275038
wd:Q47310180	wd:Q12123109
wd:Q91703916	wd:Q6667200
wd:Q15194024	wd:Q104587594
wd:Q332142	wd:Q162351
wd:Q27096235	wd:Q1211146
wd:Q955214	wd:Q449067
wd:Q107358924	wd:Q7568303
wd:Q3476515	wd:Q18412278
wd:Q37901	wd:Q3368238
wd:Q56577996	wd:Q98837942
wd:Q1656682	wd:Q6163881
wd:Q35102	wd:Q3062294
wd:Q1121708	wd:Q3042783
wd:Q808266	wd:Q120800781
wd:Q178032	wd:Q5325
wd:Q1333358	wd:Q7941489
wd:Q47334435	wd:Q62672993
wd:Q30752902	wd:Q3091275
wd:Q42998	wd:Q290702
wd:Q179700	wd:Q7702543
wd:Q987767	wd:Q124038962
wd:Q3754526	wd:Q3116860
wd:Q2640827	wd:Q21002422
wd:Q15642541	wd:Q9096832
wd:Q1836700	wd:Q115173028
wd:Q189760	wd:Q452237
wd:Q4835091	wd:Q2288631
wd:Q118870638	wd:Q478798
wd:Q8171	wd:Q42106
wd:Q3249551	wd:Q1309019
wd:Q1524582	wd:Q5308654
wd:Q14092	wd:Q692630
wd:Q159334	wd:Q170087
wd:Q1393724	wd:Q60170135
wd:Q65036927	wd:Q21065240
wd:Q854457	wd:Q43229
wd:Q3750285	wd:Q2936646
wd:Q19953632	wd:Q1172788
wd:Q1190554	wd:Q902899
wd:Q7631016	wd:Q24943410
wd:Q14290559	wd:Q5719186
wd:Q82955	wd:Q7450649
wd:Q2424752	wd:Q12042203
wd:Q16335296	wd:Q767975
wd:Q105626471	wd:Q122987709
wd:Q1173065	wd:Q117304153
wd:Q66310125	wd:Q330946
wd:Q2460422	wd:Q107689510
wd:Q20850090	wd:Q83638438
wd:Q19953632	wd:Q30329223
wd:Q2424752	wd:Q4576564
wd:Q18536342	wd:Q23452173
wd:Q31855	wd:Q4671277
wd:Q875016	wd:Q1202402
wd:Q1851760	wd:Q6136036
wd:Q107126067	wd:Q1343997
wd:Q107343342	wd:Q48893562
wd:Q56061	wd:Q2989457
wd:Q15416	wd:Q1857766
wd:Q23002042	wd:Q1083980
wd:Q1549283	wd:Q1409420
wd:Q9262	wd:Q13890
wd:Q348229	wd:Q1050906
wd:Q327055	wd:Q95613235
wd:Q14467526	wd:Q26234215
wd:Q110996210	wd:Q112978310
wd:Q205180	wd:Q515371
wd:Q1349587	wd:Q2801925
wd:Q627325	wd:Q7199710
wd:Q1498207	wd:Q5962366
wd:Q96649463	wd:Q8452
wd:Q150784	wd:Q3699460
wd:Q1478437	wd:Q104537401
wd:Q482980	wd:Q12406482
wd:Q213441	wd:Q59872735
wd:Q27096220	wd:Q183273
wd:Q820655	wd:Q1418386
wd:Q46765731	wd:Q632300
wd:Q67207179	wd:Q1077135
wd:Q1607826	wd:Q28859215
wd:Q25535985	wd:Q186637
wd:Q1907114	wd:Q3270419
wd:Q854975	wd:Q397501
wd:Q1109946	wd:Q1472389
wd:Q82955	wd:Q8125919
wd:Q50995749	wd:Q108877058
wd:Q50843134	wd:Q1188693
wd:Q17537576	wd:Q3247505
wd:Q728435	wd:Q78502423
wd:Q82794	wd:Q3575768
wd:Q55187	wd:Q935666
wd:Q386724	wd:Q55760865
wd:Q902378	wd:Q3001412
wd:Q107122728	wd:Q4287
wd:Q746369	wd:Q68155059
wd:Q206615	wd:Q1096423
wd:Q8366	wd:Q1568346
wd:Q3144351	wd:Q319141
wd:Q422584	wd:Q33741
wd:Q2196917	wd:Q2682988
wd:Q17928402	wd:Q84572095
wd:Q14757767	wd:Q1368879
wd:Q49848	wd:Q4914738
wd:Q64250307	wd:Q55007268
wd:Q3284858	wd:Q1395768
wd:Q397239	wd:Q16324495
wd:Q104157	wd:Q29946056
wd:Q1151405	wd:Q164142
wd:Q112826975	wd:Q496
wd:Q183427	wd:Q1807085
wd:Q21682724	wd:Q18691318
wd:Q2169973	wd:Q4382945
wd:Q3149875	wd:Q4698365
wd:Q44637051	wd:Q106875443
wd:Q43229	wd:Q58001476
wd:Q2424752	wd:Q11064354
wd:Q4830453	wd:Q107035337
wd:Q959962	wd:Q840247
wd:Q811430	wd:Q59772
wd:Q15212740	wd:Q521151
wd:Q10864048	wd:Q89934
wd:Q15319501	wd:Q83365329
wd:Q1420	wd:Q1054271
wd:Q6051619	wd:Q3765897
wd:Q446966	wd:Q106232017
wd:Q1195684	wd:Q13400773
wd:Q10864048	wd:Q83020
wd:Q9158768	wd:Q1191707
wd:Q732577	wd:Q58901169
wd:Q10594991	wd:Q11970279
wd:Q122759476	wd:Q122852768
wd:Q355567	wd:Q2304081
wd:Q1724915	wd:Q2252038
wd:Q124565434	wd:Q2443377
wd:Q35459920	wd:Q34929
wd:Q111907565	wd:Q20820102
wd:Q66310125	wd:Q6616206
wd:Q173799	wd:Q90830707
wd:Q2672648	wd:Q5683226
wd:Q1420	wd:Q2442151
wd:Q15633587	wd:Q37152856
wd:Q2247868	wd:Q12408871
wd:Q19603939	wd:Q468939
wd:Q788790	wd:Q1773840
wd:Q1286790	wd:Q671079
wd:Q781132	wd:Q699838
wd:Q9337488	wd:Q194235
wd:Q688718	wd:Q2991491
wd:Q825237	wd:Q1142798
wd:Q828787	wd:Q118726613
wd:Q5227240	wd:Q113470369
wd:Q2940514	wd:Q350514
wd:Q82794	wd:Q55135234
wd:Q3955017	wd:Q27106859
wd:Q17305127	wd:Q43670229
wd:Q28823	wd:Q28966125
wd:Q27968055	wd:Q107474077
wd:Q63099748	wd:Q7619865
wd:Q12136486	wd:Q101063257
wd:Q1406988	wd:Q14454091
wd:Q83620	wd:Q12511
wd:Q111514945	wd:Q111514811
wd:Q32489	wd:Q898419
wd:Q117670709	wd:Q185091
wd:Q10864048	wd:Q465842
wd:Q131647	wd:Q38593919
wd:Q7574898	wd:Q1353040
wd:Q1048835	wd:Q734818
wd:Q7243147	wd:Q7252753
wd:Q49848	wd:Q1763090
wd:Q811979	wd:Q80591556
